"date","event","observed_cloud","color","quality","sky_condition","case_url"
"2023-09-16","日落","高积云,卷云","橘黄色,橘色","小到中烧","乳状卷云","https://weibo.com/6716642729/NjB8161Sj"
"2023-09-18","日落","高积云","橘黄色,橘色","微烧","-","-"
"2023-09-19","日出","卷云","橘色","小烧","-","-"
"2023-09-19","日落","卷层云,高积云","橘色,橘红色","中到大烧","-","https://weibo.com/7398429457/Nk25gpYCg
https://weibo.com/1904104195/Nk27C2nC4
https://video.weibo.com/show?fid=1034:4947807166201907"
"2023-09-20","日出","卷层云,卷云","橘红色,橘色","大烧","密卷云","https://weibo.com/1911311020/NkrHIznte
https://weibo.com/1041461672/Nk9zMA55y
https://weibo.com/5759262544/NkabHduIb
https://weibo.com/6441777827/Nk7R5AlaU
https://weibo.com/1757792085/Nk7iFf2iB"
"2023-10-01","日出","高积云","橘红色,橘色","中到大烧","-","https://weibo.com/7838180821/NlOAq31GR"
"2023-10-02","日出","高积云","橘红色,橘色","小到中烧","-","https://video.weibo.com/show?fid=1034:4952334678032437"
"2023-10-03","日出","高积云","橘红色,橘色","中到大烧","-","https://weibo.com/1712194175/Nm9XjwYDd
https://weibo.com/1808370032/Nm8Ui5Ysy
https://weibo.com/6441777827/Nm6J6xnLc
https://weibo.com/1883437194/Nm6y3tICu"
"2023-10-05","日落","高积云","橘色","小烧","-","-"
"2023-10-08","日落","高积云,卷云","橘色","小到中烧","幡状高积云,落幡云洞,高积云性密卷云","https://weibo.com/6004516853/NmV4ICMeZ
https://weibo.com/5677499658/NmV8qh0ZB"
"2023-10-09","日出","高积云","橘红色,橘色","小烧","-","-"
"2023-10-09","日落","高积云","橘色","小到中烧","-","-"
"2023-10-10","日出","高积云","橘红色,橘色","大烧","幡状高积云,波状高积云","https://weibo.com/2929915142/Nna0b6J3s
https://weibo.com/1842458205/Nn9FG5pC1
https://weibo.com/1525790453/Nn9CGlaJ8
https://weibo.com/6441777827/NncXl6Ic9
https://weibo.com/5878164542/Nn9rs667O
https://weibo.com/5615223329/Nnasu3uyZ"
"2023-10-14","日出","高积云,卷云","橘红色,橘色","小烧","-","-"
"2023-10-22","日出","高积云","橘红色,橘色","小到中烧","日柱","https://weibo.com/2816822382/NoZOfm6MZ"
"2023-10-28","日出","高积云,卷云","橘红色","小到中烧","-","https://weibo.com/tv/show/1034:4961766027755588"
"2023-10-28","日落","高积云","橘红色","小到中烧","-","https://weibo.com/7775955469/NpXHyBLLS"
"2023-10-29","日出","高积云","橘红色","中到大烧","-","https://weibo.com/1415104792/Nq2AczMgD"
"2023-10-29","日落","高积云","橘色,橘红色","小烧","日柱","https://weibo.com/1784206143/Nq6QCb4G9"
"2023-11-03","日落","卷云","橘色,橘红色","微烧","-","-"
"2023-11-04","日落","高积云","橘色","小到中烧","-","https://weibo.com/7792139702/Nr2hKy5GU"
"2023-11-05","日落","卷云","橘色","小到中烧","云隙光","https://weibo.com/1712194175/NrbFyBOrg
https://weibo.com/5157956008/NrbyWcO6q"
"2023-11-06","日落","卷云,卷层云","橘色,橘红色","中到大烧","幡状高积云","https://weibo.com/1760816882/NrkkOaGSe"
"2023-11-08","日落","高积云,高层云","橘色,橘红色","小到中烧","-","-"
"2023-11-14","日出","高积云","橘红色","小到中烧","-","https://weibo.com/6441777827/NsusdBjkH"
"2023-11-18","日出","卷云","橘红色,橘色(粉紫色)","小到中烧","-","https://weibo.com/1839008834/Nt8I6C6NI"
"2023-11-22","日落","高积云","橘黄色,橘色,橘红色","中到大烧","幡状高积云","https://weibo.com/1894406710/NtL7o0FfO
https://weibo.com/1883437194/NtLcd2V8Z"
"2023-11-29","日出","高积云,卷云","橘色,橘黄色","中到大烧","-","https://weibo.com/2449206634/NuLnh7PUi
https://video.weibo.com/show?fid=1034:4973529855361101"
"2023-12-03","日落","卷云,高积云","橘色","小烧","-","-"
"2023-12-05","日落","卷云","橘色,橘红色","小到中烧","密卷云","https://weibo.com/1883437194/NvJOB0r1h
https://video.weibo.com/show?fid=1034:4975659286724666"
"2023-12-06","日出","卷积云,卷层云","橘红色,橘色,橘黄色","大烧","乳状卷积云,波状卷积云","https://video.weibo.com/show?fid=1034:4975970231189570
https://video.weibo.com/show?fid=1034:4975857031118852
https://video.weibo.com/show?fid=1034:4975847568769048
https://video.weibo.com/show?fid=1034:4975840291651594
https://video.weibo.com/show?fid=1034:4976669036052527
https://video.weibo.com/show?fid=1034:4976670600527887
https://weibo.com/6716642729/NvU8Dore7
https://weibo.com/2678824285/NvU46uhBb"
"2023-12-08","日落","卷云","橘黄色,橘色,橘红色","小到中烧","钩卷云","https://weibo.com/1632542437/NwdpPxi3l"
"2023-12-14","日落","高积云","橘色,橘红色","微烧","幡状高积云","https://weibo.com/5972339664/Nx6JbDvYu"
"2023-12-22","日落","卷云","橘色,橘红色","小烧","密卷云","https://video.weibo.com/show?fid=1034:4981896426487852"
"2023-12-23","日出","卷层云","橘红色,橘色,橘黄色","中到大烧","-","https://video.weibo.com/show?fid=1034:4982171773894704
https://video.weibo.com/show?fid=1034:4982129755619366
https://video.weibo.com/show?fid=1034:4982018698838026"
"2023-12-26","日落","高积云","橘色","中到大烧","絮状高积云,幡状高积云","https://video.weibo.com/show?fid=1034:4983322657620010
https://video.weibo.com/show?fid=1034:4983311483994132
https://weibo.com/7877296296/NyWO78ZJC
https://weibo.com/2296808212/NyWfT2h0Z
https://weibo.com/5574631763/NyWiksry1"
"2023-12-27","日出","高积云","橘红色","小到中烧","-","https://weibo.com/5214012093/Nz1xfdiRR
https://weibo.com/5036831638/Nz26O3khg
https://video.weibo.com/show?fid=1034:4983600664477698"
"2023-12-30","日出","高积云","橘红色","微烧","幡状高积云,平流雾上方出现的","https://weibo.com/7612166895/NzzsEtZ5R"
"2024-01-01","日落","卷云","橘黄色,橘色","小烧","密卷云","-"
"2024-01-02","日出","卷云","橘色","微烧","-","-"
"2024-01-05","日出","高积云","橘红色","小烧","幡状高积云,复高积云,日柱","https://weibo.com/6441777827/NApmD4og7"
"2024-01-08","日出","卷层云,高积云","橘红色,红色","小到中烧","-","https://weibo.com/7084142667/NAQshr0mk"
"2024-02-17","日出","高积云","橘红色","微烧","-","-"
"2024-02-27","日落","卷云","橘黄色,橘红色","微烧","-","-"
"2024-03-01","日出","层积云","橘色,橘红色","小到中烧","-","-"
"2024-03-03","日落","卷云","橘色","小烧","-","-"
"2024-03-10","日落","卷云","橘黄色,橘色","小到中烧","辐辏状卷云,密卷云","https://weibo.com/1770475104/O4nLIqCn5
https://weibo.com/5214012093/O4nH9EtaV"
"2024-03-11","日落","卷云","橘黄色,橘色","小烧","-","-"
"2024-03-13","日出","卷云,卷层云","橘色,橘黄色","小到中烧","航迹云","https://weibo.com/1632542437/O4MWRwwgl
https://weibo.com/3748077375/O4Mup9Hq5
https://video.weibo.com/show?fid=1034:5011416961187902"
"2024-03-21","日落","卷云,高积云","橘黄色,橘色","小烧","-","-"
"2024-03-22","日落","卷云","橘黄色,橘色","小烧","航迹云","https://weibo.com/1691658367/O6cYyCWtM
https://weibo.com/6124268245/O6d3y8CMh"
"2024-03-23","日落","卷云,卷层云,高积云","橘黄色,橘色","小烧","堡状高积云,幡状高积云,乳状卷层云,彩虹","-"
"2024-03-24","日出","高积云","橘色,橘红色","小烧","-","-"
"2024-03-24","日落","卷云","橘红色,橘色","微烧","-","-"
"2024-03-26","日落","卷云,层积云","橘色","微烧","-","-"
"2024-03-27","日出","卷层云","橘色,橘黄色","微烧","平流雾","-"
"2024-04-08","日落","高积云","橘色,橘黄色","小烧","-","https://weibo.com/tv/show/1034:5021005458899071"
"2024-04-09","日出","卷云","橘色,橘黄色","小烧","-","-"
"2024-04-19","日出","卷云","红色,橘红色","小到中烧","密卷云","https://weibo.com/tv/show/1034:5024779183521838
https://weibo.com/tv/show/1034:5024754126749713"
"2024-04-24","日落","卷云,高积云,高层云","橘色","小到中烧","幡状高积云,复高积云,乳状高层云","-"
"2024-04-25","日出","高积云","红色,橘红色","小到中烧","日柱","-"
"2024-04-30","日出","卷云","橘红色","微烧","密卷云","-"
"2024-05-01","日落","卷层云","橘色","小到中烧","云隙光","-"
"2024-05-02","日落","卷云","橘黄色,橘色,橘红色","小到中烧","密卷云","-"
"2024-05-06","日落","卷云","橘色,橘黄色,橘红色","小烧","-","-"
"2024-05-09","日出","卷云,卷层云","橘红色,橘色,橘黄色","小到中烧","-","https://weibo.com/1525790453/OdqmA2bF9
https://weibo.com/1415104792/Odqd8FVj4"
"2024-05-09","日落","高层云,卷层云","橘红色,红色","中到大烧","密卷云","https://weibo.com/1920200474/Odx1DqARm
https://weibo.com/5214012093/OdwVjA4vx
https://weibo.com/5503816812/OdvPmsAaS
https://weibo.com/7730046934/Odw8EEVfP
https://weibo.com/1770475104/Odwc3bdK6"
"2024-05-12","日落","高积云,卷层云","橘色,橘红色","小到中烧","日柱","https://weibo.com/5482442738/OdZu4a0Lt
https://weibo.com/5538010841/Oe1rjpCSQ
https://weibo.com/1632542437/Oe3mCl45V
https://weibo.com/5662803579/Oe00QfSZt
https://weibo.com/1883437194/OdYG4ySi9
https://weibo.com/2670306073/OdYsKuVGc
https://weibo.com/1839008834/OdYivlo2E
https://weibo.com/1776578957/Oe4ayoknf"
"2024-05-13","日出","卷云","橘色,橘黄色","小烧","-","-"
"2024-05-13","日落","卷云","橘黄色,橘色,橘红色","小烧","密卷云","https://weibo.com/5619878584/Oe7MPucLO
https://weibo.com/tv/show/1034:5033660781363207"
"2024-05-16","日落","卷云","橘黄色,橘色","小烧","-","https://weibo.com/1657119967/OezrkambQ"
"2024-05-19","日落","卷云,卷层云","橘黄色,橘色","小到中烧","-","https://weibo.com/1839008834/Of1RSuhZ9
https://weibo.com/1881846860/Of1Vnupd2
https://weibo.com/tv/show/1034:5035818826268727"
"2024-05-20","日出","卷层云","橘红色","基本不烧","平流雾","-"
"2024-05-20","日落","卷云","橘黄色","小烧","-","-"
"2024-05-22","日落","卷层云","橘色,橘红色","小到中烧","-","-"
"2024-05-23","日落","卷层云,卷云","橘黄色,橘色","小到中烧","-","https://weibo.com/1910665932/OfEkR9J86
https://weibo.com/1741505811/OfEgXwlHU
https://weibo.com/5214012093/OfDZvgYRd
https://weibo.com/5670340220/OfDzyjI8C
https://weibo.com/tv/show/1034:5037349923651626"
"2024-05-27","日落","高积云,高层云,卷层云","橘黄色,橘色,橘红色","中到大烧","幡状高层云,幡状高积云,降水线高层云,彩虹,红虹","https://weibo.com/1376016462/OggbehAxj
https://weibo.com/7437925927/OgfY9rHyU
https://weibo.com/5036831638/OgfTc5Qz3
https://weibo.com/1770475104/OgfD27fmY
https://weibo.com/1712194175/OgfkXrSfW
https://weibo.com/5171995572/OgfgqhbIu
https://weibo.com/tv/show/1034:5038769326456884
https://weibo.com/tv/show/1034:5038723805675573
https://weibo.com/tv/show/1034:5038755615014933
https://weibo.com/tv/show/1034:5038750158225497"
"2024-05-29","日出","卷云,卷层云","红色,橘红色,橘色","大烧","密卷云","https://weibo.com/5346883610/OgsHEfq9t
https://weibo.com/1969056195/Ogtst3Hfa
https://weibo.com/5157956008/OgsAa4Do7
https://weibo.com/tv/show/1034:5039257056641048
https://weibo.com/tv/show/1034:5039283166183434"
"2024-05-31","日落","高层云","橘红色","小烧","降水线高层云","-"
"2024-06-01","日出","高积云","橘红色","小烧","-","-"
"2024-06-01","日落","高积云","橘黄色,橘色","大烧","-","https://weibo.com/tv/show/1034:5040628849901600
https://weibo.com/tv/show/1034:5040952826331155
https://weibo.com/tv/show/1034:5040565289681067
https://weibo.com/tv/show/1034:5040546192752653
https://weibo.com/tv/show/1034:5040550366085131
https://weibo.com/tv/show/1034:5040538790068276
https://weibo.com/tv/show/1034:5040533794390048"
"2024-06-02","日出","高积云","橘红色","小烧","-","-"
"2024-06-03","日落","卷云","橘黄色","微烧","-","-"
"2024-06-04","日出","卷云,卷层云","橘红色","中到大烧","密卷云","-"
"2024-06-06","日落","卷云,层积云","橘色,橘红色","小到中烧","乳状卷云","https://weibo.com/6132440044/OhMHaE7hC
https://weibo.com/6218749240/OhMdG6KYB
https://weibo.com/1770475104/OhLNFk1qD"
"2024-06-07","日出","层积云","橘红色,橘色","小烧","-","-"
"2024-06-07","日落","卷云,高积云","橘色,橘红色","小到中烧","-","https://weibo.com/1427936975/OhVDZaJRT"
"2024-06-14","日落","卷云,高积云","橘色","小到中烧","乳状卷云","-"
"2024-06-16","日出","卷云","橘红色,橘黄色","小到中烧","密卷云","https://weibo.com/2441818525/OjeX11tc9"
"2024-06-21","日出","卷云,高积云","橘红色,橘色,橘黄色","小到中烧","-","-"
"2024-06-23","日落","高积云,高层云,卷云,层积云","橘色,橘红色","中到大烧","彩虹,红虹,宝光,幡状高积云,幡状高层云","http://t.cn/A6QMqHar
http://t.cn/A6QMqa9U
http://t.cn/A6QMSlSV
http://t.cn/A6QMTSfz
https://weibo.com/1632542437/OkwIiFfti
https://weibo.com/1619922603/OklOi0t4P
https://weibo.com/5972339664/Okm065jUq
https://weibo.com/2418443485/Okmixixjt
https://weibo.com/6050093884/OklRVCSRt"
"2024-06-25","日落","层积云,高层云","红色","小到中烧","-","-"
"2024-06-28","日出","高层云","橘红色,橘色","大烧","低空雾","https://weibo.com/1336320754/Ol1mPxhUR
https://weibo.com/5157956008/Ol1KF02BV"
"2024-06-30","日落","高积云,高层云","橘色,橘红色","中到大烧","彩虹,红虹,降水线高层云,幡状高层云,幡状高积云","https://weibo.com/6718242396/OlqQe2u3B
https://weibo.com/5619878584/Olqkb0kKA
http://t.cn/A6QpE0OZ
http://t.cn/A6QWuWX5"
"2024-07-02","日出","高积云,卷层云,卷云","橘色,橘黄色","中到大烧","-","http://t.cn/A6QW3BvR"
"2024-07-02","日落","高积云,卷层云,浓积云","橘色,红色","中到大烧","絮状层积云,幡状层积云,降水线层积云,红虹","https://weibo.com/7393896413/OlIFP466z
https://weibo.com/3728531991/OlIMJfdbZ
https://weibo.com/2061978953/OlIM33jiS
https://weibo.com/1760919122/OlIL81wei
https://weibo.com/2659311441/OlIJREGG1
http://t.cn/A6QlEd7z"
"2024-07-03","日出","卷层云,层积云","橘红色,橘色,橘黄色","小到中烧","堡状层积云,絮状层积云","https://weibo.com/5157956008/OlMRdcdSL
https://weibo.com/1729974002/OlMzQpJP1
http://t.cn/A6QjhP6t"
"2024-07-03","日落","卷层云,积雨云","橘黄色,橘色,橘红色","小到中烧","曙暮光条","https://weibo.com/5665944728/OlSf411GD
https://weibo.com/1426186827/OlSlWxlS3"
"2024-07-04","日出","卷云","橘红色,橘色,橘黄色","小到中烧","-","-"
"2024-07-04","日落","卷云,高积云,浓积云","橘红色,橘色","小烧","-","https://weibo.com/7918930395/Om29nCHYV"
"2024-07-06","日出","卷层云,卷云","红色,橘红色,橘色","大烧","密卷云","https://weibo.com/7556245649/OmeKts8T7
https://weibo.com/5694776530/OmeQ452CL
https://weibo.com/6252613616/OmeTTwJ8L
https://weibo.com/1729974002/Omf0lvRfl
https://www.720yun.com/vr/9a7jz7uwvv2
http://t.cn/A6Q8GJ1B"
"2024-07-06","日落","卷云,卷层云,高积云","橘黄色,橘色,橘红色","小到中烧","密卷云","https://weibo.com/1881846860/Omkxn6MtW
https://weibo.com/3867852578/OmkxGu7u8"
"2024-07-07","日出","高积云","红色,橘红色","小烧","日柱","https://weibo.com/5214012093/OmrdLw32j
https://weibo.com/1780075421/OmrdRBFpS"
"2024-07-07","日落","卷云,高积云","橘色,橘红色","中到大烧","乳状卷云","https://weibo.com/1631805282/OmtRUpIXG
https://weibo.com/5677499658/OmtS9DOJ3
https://weibo.com/1760362243/OmtUjnEwS
https://weibo.com/6050093884/OmtSOpuyL"
"2024-07-08","日出","卷云,高积云","红色,橘红色,橘色","小到中烧","航迹云","-"
"2024-07-09","日出","卷层云","橘色","小到中烧","-","https://weibo.com/1729974002/OmH6UciFK"
"2024-07-09","日落","高积云,卷云","橘黄色,橘红色","微烧","云隙光,曙暮光条,密卷云,堡状卷云,堡状高积云,乳状高积云,乳状密卷云,幡状高积云","https://weibo.com/5362729106/OmNKBmMGn
https://weibo.com/1632542437/OmNOkp2uM"
"2024-07-10","日出","卷层云,高积云","橘色,橘黄色","小到中烧","-","-"
"2024-07-12","日落","高层云,高积云","橘黄色,橘色","中到大烧","-","-"
"2024-07-13","日落","高层云,高积云","橘红色","小烧","云隙光","-"
"2024-07-14","日落","高层云,高积云","橘色","小烧","-","https://weibo.com/1336320754/OnxQyEUDj"
"2024-07-16","日出","卷云,高积云","橘色","小到中烧","-","https://weibo.com/7766567379/OnLoGwDn8"
"2024-07-17","日出","卷云,卷层云","橘色,橘红色,红色","中到大烧","密卷云","https://weibo.com/1874583372/OnVSEzaqo
https://weibo.com/1860159045/OnWkmyCvv
https://weibo.com/5157956008/OnUYwyzyi
https://weibo.com/1874583372/OnVSEzaqo"
"2024-07-18","日落","云砧,浓积云","橘色,橘红色","小到中烧","-","https://weibo.com/7766567379/Oo9AV5wuz"
"2024-07-20","日出","卷云,卷层云,高积云","橘红色,橘色,橘黄色","中到大烧","幡状高积云","https://weibo.com/3764291665/Oon56yEtE
https://weibo.com/7818137265/OonfmDDiy
https://weibo.com/7488536656/OomQ64BHo
https://weibo.com/5401485841/OoxCLhL3u
http://t.cn/A68wDkrM"
"2024-07-20","日落","卷云","橘红色","小烧","-","-"
"2024-07-21","日出","高积云","红色,橘红色,橘色","中到大烧","幡状高积云","http://t.cn/A68q2P0H
http://t.cn/A682n5Lu
http://t.cn/A682mkht
http://t.cn/A6823pPY
http://t.cn/A682Bamz
http://t.cn/A682r8Ix
https://weibo.com/tv/show/1034:5058502717014029
http://t.cn/A68LSFhr"
"2024-07-22","日落","卷云,卷层云","橘黄色,橘色","小到中烧","-","-"
"2024-07-23","日出","高积云,卷层云","红色,橘红色","小到中烧","-","http://t.cn/A68GZkGH"
"2024-07-23","日落","积雨云,卷层云,高积云","橘黄色,橘色,红色","中到大烧","云隙光,锥晶幻日","https://weibo.com/5972339664/OoVeI6MSs
https://weibo.com/3607871832/OoVGezG3P
https://weibo.com/1415104792/OoULT9I25
http://t.cn/A68qaowZ"
"2024-07-24","日出","卷云,高积云","红色,橘红色,橘色,橘黄色","小到中烧","幡状高积云","https://weibo.com/2348992072/OoW5Zf6rJ"
"2024-07-24","日落","浓积云,卷云","橘黄色,橘色,橘红色","小到中烧","-","-"
"2024-07-25","日落","浓积云,云砧,卷层云","橘黄色,橘色","小烧","云隙光","-"
"2024-07-27","日出","高积云,高层云","橘色,橘黄色","中到大烧","彩虹,幡状高积云,幡状高层云","https://weibo.com/7766567379/OpqSkcuwu
https://weibo.com/1623721534/Opr3xBD7a
http://t.cn/A68MzrJu
https://weibo.com/1803141353/OpseSvOV2"
"2024-07-30","日出","卷云","橘红色,橘色,橘黄色","小烧","-","-"
"2024-08-02","日落","卷云","橘黄色,橘色","小烧","-","-"
"2024-08-03","日落","卷云,卷层云,高积云","橘黄色,橘色,橘红色","中到大烧","-","https://weibo.com/1910665932/OqAGf3rVw
https://weibo.com/1427936975/OqAzzvS3T
https://weibo.com/1760919122/OqAnqkuNW"
"2024-08-04","日落","云砧","橘黄色,橘色,橘红色","大烧","乳状高层云","-"
"2024-08-05","日落","云砧","橘黄色,橘色,橘红色","中到大烧","-","-"
"2024-08-06","日出","卷云,高积云","橘黄色,橘色","小到中烧","-","-"
"2024-08-08","日出","高积云","橘色,橘黄色","小烧","-","-"
"2024-08-10","日出","卷云","橘色,橘黄色","中到大烧","-","-"
"2024-08-10","日落","卷云,积雨云,云砧","橘黄色,橘红色","小到中烧","云隙光","-"
"2024-08-12","日落","卷云","橘黄色","微烧","-","-"
"2024-08-14","日出","卷云","橘黄色,橘色","中到大烧","-","-"
"2024-08-16","日落","云砧","橘黄色,橘色","小到中烧","乳状云","-"
"2024-08-17","日落","云砧","橘色,橘红色","中到大烧","-","-"
"2024-08-19","日出","卷云","橘黄色,橘色,橘红色","小到中烧","-","-"
"2024-08-21","日出","卷云,高积云","橘黄色,橘色,橘红色","小到中烧","-","-"
"2024-08-21","日落","高积云,高层云,云砧,积雨云","橘黄色,橘色,橘红色","小到中烧","降水线高层云,彩虹,闪电","-"
"2024-08-22","日出","高积云","橘黄色,橘色","小到中烧","-","-"
"2024-08-22","日落","卷云,高积云","橘黄色,橘色,橘红色","小到中烧","-","-"
"2024-08-26","日落","卷云,卷层云","橘色,橘红色","小到中烧","-","-"
"2024-08-27","日出","卷层云","橘黄色,橘色,橘红色","中到大烧","-","-"
"2024-08-28","日落","积雨云,浓积云","橘黄色,橘色","小到中烧","彩虹,云隙光","-"
"2024-09-06","日落","卷云","橘黄色,橘色,橘红色","小烧","-","-"
"2024-09-09","日落","浓积云,卷云","橘黄色,橘色,橘红色","小烧","彩虹","-"
"2024-09-12","日落","卷层云,高积云","橘黄色,橘色,橘红色","中到大烧","云隙光","-"
"2024-09-14","日落","卷云,浓积云","橘黄色,橘色,橘红色","小到中烧","密卷云,乳状卷云,云隙光","https://weibo.com/1896388672/OwXYE4ux0
https://weibo.com/2021684057/OwY148Psh
https://weibo.com/1839008834/OwYaf3K2t
https://weibo.com/7479962268/OwYhtid39
https://weibo.com/1246343587/OwYxr7Mw8"
"2024-09-15","日落","卷层云","橘黄色,橘色,橘红色","小到中烧","-","https://weibo.com/1958044850/Ox7HmqoI0
https://weibo.com/7849281840/Ox7zHaNEy"
"2024-09-17","日出","卷云,高积云,浓积云","橘红色,橘色,橘黄色","中到大烧","红虹,降水线高积云,幡状高积云","https://weibo.com/1632542437/OxmiBsLZ0"
"2024-09-17","日落","高积云,卷云","橘黄色,橘色,橘红色","小到中烧","幡状高积云,堡状高积云","-"
"2024-09-22","日落","卷层云,层积云","橘黄色,橘色,橘红色","中到大烧","乳状卷层云,辐辏状卷层云","https://weibo.com/1969770937/OybmZ4ua5
https://weibo.com/2418443485/OyboTxNMJ
https://weibo.com/1780075421/Oybpvetl1
https://weibo.com/6218749240/OybqpkOdI
https://weibo.com/7232566447/OybxrFCpP"
"2024-09-26","日出","卷云,高积云","橘红色,橘色","中到大烧","-","https://weibo.com/6252493769/OyJh4BHPf
https://weibo.com/5157956008/OyOgvtgRJ
https://weibo.com/5157956008/OyOgvtgRJ"
"2024-10-01","日出","高层云","橘色,橘黄色","小到中烧","-","https://weibo.com/6252493769/OzzgzwL2L"
"2024-10-02","日落","卷云,高积云","橘黄色,橘色,橘红色,红色","中到大烧","-","https://weibo.com/5136323295/OzHwukTpx"
"2024-10-09","日出","高积云","橘红色,橘色","中到大烧","幡状高积云","https://weibo.com/1776068247/OAIzLwsoA
https://weibo.com/7612166895/OAJRN93tw"
"2024-10-10","日出","卷云","橘色","微烧","-","-"
"2024-10-12","日落","高积云","橘红色,红色","小到中烧","-","https://weibo.com/1632542437/OBdGxvOIa
https://weibo.com/5704892888/OBfrSyM1l"
"2024-10-13","日出","高积云,层积云","橘红色,橘色","小到中烧","-","https://weibo.com/2441818525/OBjfi71dU"
"2024-10-16","日出","高层云","橘红色","小烧","-","-"
"2024-10-18","日出","高积云","橘色,橘黄色","小到中烧","幡状高积云,云海","-"
"2024-10-20","日出","高积云,高层云","橘红色,橘色","中到大烧","幡状高积云,幡状高层云,红虹","-"
"2024-10-29","日出","高积云","橘色,橘黄色","中到大烧","-","https://weibo.com/7398429457/ODOySdZ1H
https://weibo.com/5522596549/ODJrcwqoe
https://weibo.com/2008384291/ODK2QzGUN"
"2024-10-30","日落","高积云","橘黄色,橘色,橘红色","中到大烧","幡状高积云","https://weibo.com/1623721534/ODXefplaP
https://weibo.com/7535266243/ODXhAEhiv
https://weibo.com/7479962268/ODXBzh3sl"
"2024-11-04","日落","卷云,高积云","橘黄色,橘色","小到中烧","乳状卷云,幡状高积云","-"
"2024-11-07","日落","卷云","橘黄色,橘色","微烧","-","-"
"2024-11-09","日出","高积云","橘色,橘黄色","小到中烧","幡状高积云","-"
"2024-11-10","日落","高积云","橘黄色,橘色","小烧","-","-"
"2024-11-14","日出","高积云","橘色","小烧","-","-"
"2024-11-18","日出","高积云","橘红色","小到中烧","-","https://weibo.com/1776068247/P0P3mup48"
"2025-01-04","日出","高积云","橘色","微烧","-","https://weibo.com/2816822382/P7YYDmbPD"
"2025-01-14","日出","高积云","红色,橘红色","小烧","幡状高积云","-"
"2025-01-22","日落","卷云","橘黄色","微烧","密卷云","-"
"2025-01-30","日落","卷云","橘黄色,橘色","小到中烧","-","-"
"2025-02-05","日落","卷云","橘黄色,橘色,橘红色","小到中烧","-","-"
"2025-03-02","日落","卷云","橘黄色,橘色","小烧","-","-"
"2025-04-16","日出","卷云,卷层云","橘色,橘黄色","小烧","-","https://weibo.com/1776068247/PnvhRC9zV"
"2025-04-16","日落","卷层云","橘色","小烧","-","-"
"2025-04-20","日落","卷云,卷层云","橘色","小烧","-","-"
"2025-04-23","日落","卷云,卷层云","橘色,橘红色","小烧","-","-"
"2025-04-27","日出","高积云","红色,橘红色","中到大烧","-","https://www.xiaohongshu.com/explore/680dc0e4000000000b01c5a1?app_platform=android&ignoreEngage=true&app_version=8.80.0&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBgWl-k-nEcSQmGuVvOJ9dtJk-2D1nbdZsotsCOS9SU3E=&author_share=1&xhsshare=WeixinSession&shareRedId=N0w4QUdHO0o2NzUyOTgwNjY0OTc8N0o-&apptime=1745732263&share_id=3f98be4929354ba9b9d6bbfe215d89ef&share_channel=wechat"
"2025-04-28","日出","卷云","橘色","小烧","-","-"
"2025-04-30","日落","高层云","橘红色,红色","小到中烧","-","https://weibo.com/7612166895/PpGn5EMnq"
"2025-05-03","日落","卷层云","橘色","微烧","-","-"
"2025-05-04","日落","卷层云","橘黄色,橘色","小到中烧","-","-"
"2025-05-09","日落","卷云","橘黄色,橘色,橘红色","小到中烧","-","https://weibo.com/1079610644/Pr3dLbcKy
https://weibo.com/1632542437/Pr4FYsN7N"
"2025-05-13","日出","卷云","橘色,橘黄色","小烧","-","-"
"2025-05-14","日出","卷云","红色,橘红色,橘色","小到中烧","密卷云","-"
"2025-05-19","日落","卷云","橘黄色","小烧","密卷云","-"
"2025-05-20","日出","卷云,卷层云","橘色,橘黄色","小烧","平流雾","https://www.xiaohongshu.com/discovery/item/682bb1f600000000210074c3?app_platform=android&ignoreEngage=true&app_version=8.83.0&share_from_user_hidden=true&xsec_source=app_share&type=video&xsec_token=CB9PqLMnXkCxIpssZiItOGpj_gubGGS7Vsh4wgddgnCQ0%3D&author_share=1&xhsshare=WeixinSession&shareRedId=ODZFODk2OU42NzUyOTgwNjY0OTc2SDo9&apptime=1747710721&share_id=2efae38a23b64fe4b35321644d7c6ddf&share_channel=wechat"
"2025-05-21","日落","卷云","橘黄色,橘色","小到中烧","-","https://weibo.com/1632542437/PsSs8eLY5
https://weibo.com/1776068247/PsSGVFpZD
https://weibo.com/2441818525/PsSNisa4M"
"2025-05-24","日落","卷云","橘黄色,橘色","小烧","-","https://weibo.com/1910665932/PtlFClC2l"
"2025-05-25","日出","卷云","橘红色","小烧","-","https://weibo.com/7899847268/PtpII1J2k
https://weibo.com/1415104792/Pts1fA2ta"
"2025-05-25","日落","卷云,卷层云","橘黄色,橘色","中到大烧","密卷云,乳状卷云","https://weibo.com/6445859669/Ptu1wdzfw
https://weibo.com/1079610644/Ptuu56FfZ
http://t.cn/A6gnojAi
http://t.cn/A6guhsgV
https://weibo.com/1910665932/Ptv7Wd3Pm
https://weibo.com/1632542437/PtCRyxyp6"
"2025-05-27","日出","卷云","橘红色,橘色","小到中烧","密卷云","-"
